gene;ratio;pval;qval
Jchain;-7.289;1.06E-56;1.05E-52
Igha;-7.194;4.65E-56;2.3E-52
Mttp;1.606;8.48E-50;2.8E-46
Igkc;-6.532;4.36E-46;1.08E-42
Lct;1.863;7.84E-40;1.55E-36
Anpep;1.237;1.63E-30;2.68E-27
Enpep;1.512;6.8E-30;9.62E-27
Cdh17;1.38;4.37E-28;5.41E-25
Mep1b;1.314;2.01E-25;2.22E-22
Apobec3;-2.247;2.01E-22;1.99E-19
Ces2e;1.057;2.91E-19;0.000000000000000262
P4hb;0.987;7.78E-19;0.000000000000000642
Alpi;0.955;1.53E-18;0.00000000000000116
Gm17535;-1.503;2.13E-18;0.00000000000000151
Atp2b1;1.062;6.11E-18;0.00000000000000404
Apob;1.659;0.0000000000000000668;0.0000000000000414
Abcb1a;1.466;0.000000000000000317;0.000000000000184
Rnf128;5.689;0.000000000000000688;0.000000000000359
Gm17615;-1.534;0.00000000000000066;0.000000000000359
Apob;2.515;0.00000000000000111;0.000000000000551
Gda;-0.828;0.00000000000000132;0.000000000000624
Npc1l1;1.314;0.00000000000000282;0.00000000000124
Atp1a1;1.239;0.00000000000000288;0.00000000000124
Slc4a7;1.474;0.0000000000000112;0.00000000000462
Cyp2b10;1.009;0.000000000000016;0.00000000000635
Net1;-2.007;0.0000000000000198;0.00000000000755
Gm10780;-1.235;0.0000000000000526;0.0000000000193
Gm37515;-1.14;0.000000000000155;0.0000000000548
Plvap;-4.685;0.000000000000165;0.0000000000565
Cyp3a13;0.933;0.000000000000301;0.0000000000994
Clca4b;1.48;0.000000000000331;0.000000000106
Ceacam1;1.061;0.00000000000035;0.000000000108
Slc13a1;0.886;0.000000000000372;0.000000000112
Apoe;-4.364;0.000000000000904;0.000000000263
Nme7;0.927;0.00000000000157;0.00000000044
Lrp1;1.237;0.00000000000165;0.00000000044
Slc26a6;1.221;0.00000000000169;0.00000000044
Slc26a6;1.221;0.00000000000169;0.00000000044
Gm9742;-1.266;0.00000000000258;0.000000000656
Slc27a4;0.966;0.0000000000039;0.000000000967
Acsl5;0.898;0.00000000000409;0.000000000989
Gm10717;-1.711;0.00000000000525;0.00000000124
Sik2;-1.341;0.00000000000713;0.00000000164
Atp1b1;1.108;0.00000000000822;0.00000000185
Epcam;0.771;0.0000000000094;0.00000000207
Treh;1.08;0.0000000000101;0.00000000214
Srgn;-4.505;0.00000000000993;0.00000000214
Lgals3bp;1.451;0.0000000000165;0.0000000034
Ccdc34;-1.569;0.0000000000209;0.00000000422
Usp29;-1.241;0.000000000027;0.00000000536
Ift80;-1.276;0.0000000000307;0.00000000596
Cyp4v3;1.1;0.0000000000342;0.00000000651
Ugt2b34;1.035;0.0000000000459;0.00000000857
Gm42785;-1.178;0.0000000000583;0.0000000107
Slc15a1;1.031;0.0000000000656;0.0000000118
RP24-71O4.1;-1.224;0.000000000125;0.0000000221
Gm10717;-1.261;0.00000000013;0.0000000227
Gm10719;-1.333;0.000000000237;0.0000000405
Cyb5r3;-1.536;0.000000000249;0.0000000418
1700128F08Rik;-1.187;0.000000000265;0.0000000438
Trim12c;-1.308;0.000000000318;0.0000000517
Mrpl48;-0.955;0.000000000382;0.000000061
P4hb;1.02;0.000000000418;0.0000000647
Ace2;1.419;0.000000000414;0.0000000647
Aoc1;1.17;0.000000000443;0.0000000675
Apoe;-4.202;0.000000000457;0.0000000687
Cpa6;-1.157;0.000000000477;0.0000000704
Zdhhc21;-0.882;0.000000000673;0.0000000981
Pign;-1.252;0.000000000802;0.000000115
C1qa;-4.092;0.00000000084;0.000000119
Gm21738;-1.305;0.000000000938;0.000000131
Gm10717;-1.273;0.00000000102;0.00000014
Slc43a2;1.156;0.00000000104;0.000000141
Ggt1;0.837;0.00000000123;0.000000165
Dpp10;-1.173;0.00000000165;0.000000217
Muc13;0.801;0.00000000178;0.000000232
Fgd4;-1.043;0.00000000189;0.000000243
Ap1s3;-0.706;0.00000000198;0.000000251
Lyz2;-3.985;0.0000000021;0.000000263
Mme;0.988;0.00000000212;0.000000263
