gene,Stem cell,TA,Enterocytes [early],Enterocytes [interm],Enterocytes [mature],Paneth,Goblet,Enteroendocrine,Tuft,CD4,CD8,gdT,ILC3,Plasma,cDC,Macrophages,MastCell,Capillary endothel,Lymphatic endothel,Arterial endothel,Venous endothel,Fibroblasts,Pericytes,Neuronal
A1BG,0,0,2.88E-07,7.03E-08,7.01E-08,0,0,4.53E-06,0,0,5.17E-05,5.70E-05,3.38E-05,1.83E-05,0.000121382,1.98E-05,1.30E-05,0,3.63E-06,0,0,8.21E-05,0,0.000160687
A1CF,3.05E-05,3.58E-05,5.83E-05,7.97E-05,9.60E-05,5.70E-05,7.47E-05,0.000171849,4.32E-05,0,0,0,0,1.67E-05,0,0,0,0,0,7.09E-07,1.23E-06,0,2.88E-06,0
A2M-AS1,3.54E-07,0,4.50E-07,8.87E-08,1.07E-07,1.50E-06,5.34E-07,0,0,0,0,7.30E-07,0,0,0,0,0,0,4.63E-06,0,2.81E-06,0,9.19E-07,0
A2ML1,2.32E-07,0,0,0,0,0,0,0,2.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,6.51E-08,4.57E-08,0,1.99E-06,0,9.24E-07,0,0,0,9.88E-06,0,0,0,3.15E-06,0,0.000177757,0.00023008,7.74E-05,0.00013424,8.05E-05,0.00016079,0
AAAS,1.38E-05,1.68E-05,8.57E-06,8.73E-06,6.22E-06,8.99E-06,1.39E-05,1.48E-05,1.70E-05,0,6.58E-06,1.45E-05,0,8.37E-06,1.03E-05,4.46E-06,1.31E-05,0,1.16E-05,5.85E-06,1.96E-05,9.08E-06,2.97E-05,0
AACS,1.03E-05,1.95E-05,1.47E-05,1.48E-05,1.22E-05,3.77E-05,3.89E-05,2.84E-05,1.45E-05,0,1.50E-05,2.01E-05,3.38E-05,1.27E-05,0,1.92E-05,1.70E-05,0,8.28E-06,4.44E-06,9.50E-06,0,2.36E-05,0
AADAC,2.04E-05,6.37E-05,0.000103804,0.000154941,5.84E-05,0,6.30E-06,6.39E-07,1.61E-05,0,0,0,0,0,4.39E-05,0,0,0,6.03E-06,2.70E-05,5.95E-06,1.66E-05,3.81E-06,0
AADAT,3.84E-06,2.47E-06,1.84E-06,1.89E-07,7.30E-08,1.57E-05,4.98E-06,6.69E-06,0,0,0,0,0,0,0,0,0,0,2.28E-06,0,0,0,7.33E-07,0
AAED1,3.29E-06,2.94E-06,1.81E-06,3.59E-07,8.56E-07,0,0,2.48E-05,5.29E-06,0,3.53E-05,2.95E-05,5.44E-05,2.87E-05,4.42E-06,2.11E-05,2.23E-05,0,5.12E-05,0.000118636,3.04E-05,2.84E-05,3.41E-05,0
