external_gene_name,entrezgene_id
MT-ND1,4535
MT-ND1,4535
MT-ND2,4536
MT-CO1,4512
MT-CO1,4512
MT-CO1,4512
MT-CO1,4512
MT-CO2,4513
MT-CO2,4513
MT-CO2,4513
MT-CO2,4513
MT-CO2,4513
MT-CO2,4513
MT-ATP8,4509
MT-ATP6,4508
MT-CO3,4514
MT-CO3,4514
MT-ND3,4537
MT-ND3,4537
MT-ND4L,4539
MT-ND4L,4539
MT-ND4,4538
MT-ND4,4538
MT-ND5,4540
MT-ND6,4541
MT-CYB,4519
MT-CYB,4519
MT-CYB,4519
MT-CYB,4519
TRAV12-2,NA
LRRC72,100506049
TRAV8-4,NA
LRRC72,100506049
LRRC72,100506049
LYAR,55646
LYAR,55646
ZNF385D,79750
ZNF385D,79750
LYAR,55646
LYAR,55646
LYAR,55646
ZNF385D,79750
DPH3,285381
DPH3,285381
SOSTDC1,25928
ZNF385D,79750
ZNF385D,79750
DPH3,285381
ZNF385D,79750
SOSTDC1,25928
DEFA6,1671
DEFA6,1671
DEFA4,1669
DEFA4,1669
C20orf27,54976
DEFB125,245938
C20orf27,54976
C20orf27,54976
C20orf27,54976
C20orf27,54976
HPX,3263
HPX,3263
C20orf27,54976
C20orf27,54976
FAM20C,56975
FAM20C,56975
TINF2,26277
TUBB8,347688
TUBB8,347688
TUBB8,347688
TUBB8,347688
HPX,3263
TUBB8,347688
TUBB8,347688
TUBB8,347688
TUBB8,347688
TUBB8,347688
TUBB8,347688
TUBB8,347688
DEFB126,81623
DEFB127,140850
DEFB128,245939
HNF1B,6928
HNF1B,6928
DEFB129,140881
DEFB129,140881
TINF2,26277
TINF2,26277
TINF2,26277
TINF2,26277
HNF1B,6928
HNF1B,6928
TFIP11,24144
TFIP11,24144
TFIP11,24144
TFIP11,24144
TFIP11,24144
TFIP11,24144
TFIP11,24144
TFIP11,24144
TINF2,26277
TINF2,26277
TFIP11,24144
TFIP11,24144
DEFB132,400830
DEFB132,400830
TINF2,26277
TINF2,26277
TFIP11,24144
TFIP11,24144
HNF1B,6928
TINF2,26277
HNF1B,6928
TFIP11,24144
TFIP11,24144
TFIP11,24144
TFIP11,24144
TINF2,26277
TFIP11,24144
TINF2,26277
TINF2,26277
TFIP11,24144
HNF1B,6928
TFIP11,24144
HNF1B,6928
TFIP11,24144
TINF2,26277
TFIP11,24144
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
P3H3,10536
P3H3,10536
TFIP11,24144
TFIP11,24144
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
FGFRL1,53834
SRRD,402055
SRRD,402055
WDR19,57728
WDR19,57728
WDR19,57728
WDR19,57728
WDR19,57728
WDR19,57728
WDR19,57728
WDR19,57728
TRAV13-2,NA
TRAV14DV4,NA
TRAV9-2,NA
WDR19,57728
WDR19,57728
GPR162,27239
GPR162,27239
WDR19,57728
WDR19,57728
GPR162,27239
GPR162,27239
GPR162,27239
GPR162,27239
KIR3DL2,3812
KIR3DL2,3812
FOXL3,116033993
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
FOXL3,116033993
AATF,26574
AATF,26574
AATF,26574
AATF,26574
WDR19,57728
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
GID8,54994
GID8,54994
GID8,54994
GID8,54994
NELFA,7469
NELFA,7469
WDR19,57728
NELFA,7469
NELFA,7469
GUCA2B,2981
WDR19,57728
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
NELFA,7469
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
DNAJB12,54788
JCHAIN,3512
JCHAIN,3512
JCHAIN,3512
JCHAIN,3512
DNAJB12,54788
DNAJB12,54788
RPS13,6207
C20orf96,140680
JCHAIN,3512
JCHAIN,3512
JCHAIN,3512
JCHAIN,3512
LRRN4,164312
DNAJB12,54788
DNAJB12,54788
JCHAIN,3512
JCHAIN,3512
C20orf96,140680
C20orf96,140680
JCHAIN,3512
